id_str,posted_by,type,score,ratio
1788353203500704196,CBSNews,positive,0.0747603,0.398829
1788353189009330476,CBSNews,negative,-0.163436,-0.508521
1788350707457798459,CBSNews,negative,-0.166525,-0.566281
1788350695566987337,CBSNews,positive,0.0795165,0.245327
1788349933063381094,CBSNews,neutral,-0.0247727,-0.0564185
1788349924247019772,CBSNews,negative,-0.35095,-0.884347
1788348153382523130,CBSNews,negative,-0.143574,-0.653786
1788345238630613067,CBSNews,negative,-0.11157,-0.477067
1788345231491973460,CBSNews,neutral,0.045286,0.115708
1788345215503270037,CBSNews,negative,-0.189929,-0.378513
1788345206712012989,CBSNews,positive,0.245483,0.87283
1788343992255381509,CBSNews,negative,-0.146007,-0.51867
1788343121329131587,CBSNews,positive,0.0675568,0.653839
1788342236364538346,CBSNews,negative,-0.0942404,-0.245677
1788341275453735070,CBSNews,negative,-0.10443,-0.332613
1788338088319631678,CBSNews,negative,-0.344473,-0.862155
1788337815878537221,CBSNews,neutral,-0.0393609,-0.220788
1788334972270415977,CBSNews,negative,-0.0810476,-0.327614
1788333668932473279,CBSNews,positive,0.0648885,0.0515634
1788333530969514147,CBSNews,positive,0.0612128,0.420618
1788333056496935155,CBSNews,neutral,-0.0497494,-0.285343
1788332781182808206,CBSNews,positive,0.150203,-0.107836
1788331186797895839,CBSNews,negative,-0.104743,-0.281513
1788331109895246326,CBSNews,negative,-0.053651,-0.160644
1788330069456195997,CBSNews,positive,0.290307,0.762152
1788329959347380449,CBSNews,neutral,0.0189206,0.311752
1788329536796467609,CBSNews,negative,-0.123819,-0.283322
1788327307205026005,CBSNews,negative,-0.104743,-0.281513
1788325504841314514,CBSNews,positive,0.195634,0.763345
1788321780421013690,CBSNews,negative,-0.30211,-0.895824
1788320473010332000,CBSNews,positive,0.0926827,0.352864
1788315437056344344,CBSNews,neutral,0.0278285,0.184723
1788312369291997680,CBSNews,negative,-0.320154,-0.772561
1788310405263011990,CBSNews,positive,0.0574211,0.295053
1788305373172060235,CBSNews,negative,-0.236762,-0.80062
1788300341382873511,CBSNews,negative,-0.348748,-0.851236
1788295308423618734,CBSNews,negative,-0.126099,-0.509295
1788291487735623827,CBSNews,positive,0.133589,0.252023
1788291346773479872,CBSNews,positive,0.0781803,0.686112
1788286496669151569,CBSNews,positive,0.116434,0.689565
1788284038307835933,CBSNews,positive,0.0570982,0.445291
1788277446778683416,CBSNews,negative,-0.0647334,-0.267176
1788277220261200044,CBSNews,neutral,-0.0365328,-0.346684
1788277041982292468,CBSNews,positive,0.17299,0.858072
1788276738138526019,CBSNews,negative,-0.797457,-1
1788273222376440113,CBSNews,negative,-0.14696,-0.163667
1788267623332897250,CBSNews,positive,0.0793929,0.503953
1788263847775637554,CBSNews,positive,0.0667147,0.45026
1788260631767921108,CBSNews,negative,-0.291536,-0.817744
1788256370187223117,CBSNews,negative,-0.238252,-0.913837
1788252524027240530,CBSNews,positive,0.0652864,0.475604
1788247984829796857,CBSNews,negative,-0.161391,-0.620695
1788243365982527916,CBSNews,positive,0.128971,1
1788242456712032739,CBSNews,neutral,0.0167616,0.100362
1788242089311973835,CBSNews,positive,0.270911,0.596348
1788237424004420068,CBSNews,neutral,-0.0410821,-0.225176
1788233650892427404,CBSNews,negative,-0.0764421,-0.274712
1788229874852798617,CBSNews,neutral,0.017029,0.13385
1788226149715181775,CBSNews,positive,0.140439,0.143245
1788222327861174740,CBSNews,negative,-0.222634,-0.584903
1788218549036531732,CBSNews,positive,0.338184,0.717304
1788215556685902052,CBSNews,negative,-0.153198,-0.521883
1788215546900566222,CBSNews,negative,-0.318305,-0.334964
1788215538696511846,CBSNews,positive,0.091508,0.519212
1788215530769317950,CBSNews,negative,-0.275907,-0.741679
1788215526294008081,CBSNews,positive,0.156474,0.697087
1788215507969011753,CBSNews,positive,0.377822,1
1788215498481549671,CBSNews,negative,-0.0996351,-1
1788214778273366518,CBSNews,positive,0.278949,0.397284
1788211001411678505,CBSNews,negative,-0.362309,-0.778549
1788206407449227368,CBSNews,positive,0.0872638,0.443245
1788194657127588209,CBSNews,neutral,-0.0114883,-0.0233724
1788194330668089766,CBSNews,negative,-0.225992,-0.656951
1788191678823559449,CBSNews,negative,-0.0850884,-0.395428
1788186119307239889,CBSNews,negative,-0.192404,-0.788991
1788186109005987856,CBSNews,neutral,0.00357276,0.0100185
1788186099505881427,CBSNews,negative,-0.185897,-0.508075
1788186087115870427,CBSNews,negative,-0.416069,-0.741762
1788186078785982728,CBSNews,negative,-0.155978,-0.669101
1788184577497784348,CBSNews,positive,0.0858539,0.705917
